home_team,away_team,home_rating,away_rating,home_recent_form,away_recent_form,home_goals_avg,away_goals_avg,home_goals,away_goals,result
Antigua and Barbuda,Guyana,49,55,4.71,0.55,2.17,1.73,1,1,draw
Belize,Guyana,45,55,3.27,-3.96,1.17,0.95,0,1,away_win
Trinidad and Tobago,Saint Vincent and the Grenadines,71,45,-1.87,3.33,2.57,2.11,2,0,home_win
Bermuda,Aruba,47,43,-0.81,1.85,1.39,1.39,2,0,home_win
Suriname,Dominica,61,39,-2.69,-3.06,2.02,0.82,2,0,home_win
Saint Kitts and Nevis,Barbados,51,48,2.66,3.58,1.8,1.87,3,0,home_win
Trinidad and Tobago,Antigua and Barbuda,71,49,1.31,0.21,2.39,0.94,2,0,home_win
Dominica,Guadeloupe,39,60,1.61,2.15,1.99,2.13,0,2,away_win
Montserrat,Saint Kitts and Nevis,30,51,1.53,-2.33,1.21,0.82,1,2,away_win
Curacao,Saint Lucia,68,46,-5.1,-3.06,2.2,1.71,4,0,home_win
Montserrat,Trinidad and Tobago,30,71,-1.28,-0.69,1.36,2.24,0,3,away_win
Jamaica,Dominican Republic,78,57,-4.41,5.36,2.9,1.9,1,0,home_win
Guyana,Saint Lucia,55,46,-1.75,-2.34,2.1,1.77,1,2,away_win
Trinidad and Tobago,Bahamas,71,40,-3.94,7.17,2.62,1.83,2,0,home_win
Belize,Montserrat,45,30,-9.06,-0.19,1.37,1.3,3,1,home_win
Cayman Islands,Jamaica,33,78,-2.04,-0.9,1.72,2.51,1,3,away_win
Cuba,Antigua and Barbuda,62,49,-4.12,-0.33,1.81,1.93,2,2,draw
Puerto Rico,Curacao,44,68,-2.03,-2.58,1.89,1.97,0,4,away_win
Saint Vincent and the Grenadines,Belize,45,45,0.44,-0.21,1.58,1.74,1,0,home_win
Jamaica,Saint Vincent and the Grenadines,78,45,2.54,5.07,3.22,1.89,5,0,home_win
Saint Kitts and Nevis,Bahamas,51,40,-5.75,3.01,1.86,1.66,1,1,draw
Saint Vincent and the Grenadines,Puerto Rico,45,44,5.36,-2.84,2.13,0.99,2,3,away_win
Curacao,Montserrat,68,30,4.62,1.2,2.8,0.94,5,0,home_win
Cuba,Trinidad and Tobago,62,71,-0.08,2.08,2.12,2.65,2,1,home_win
Cayman Islands,Guyana,33,55,-3.92,0.64,1.05,2.3,0,2,away_win
Cayman Islands,Dominica,33,39,0.1,-0.34,0.75,0.58,1,1,draw
Saint Vincent and the Grenadines,Puerto Rico,45,44,-1.76,2.86,1.32,1.25,5,1,home_win
Guyana,Saint Vincent and the Grenadines,55,45,4.55,-1.62,1.72,1.48,1,0,home_win
Saint Lucia,Jamaica,46,78,-1.23,3.05,1.17,2.41,0,3,away_win
Saint Lucia,Puerto Rico,46,44,-2.26,2.81,1.14,0.81,1,1,draw
Saint Kitts and Nevis,Antigua and Barbuda,51,49,1.59,3.01,1.71,1.89,1,1,draw
Saint Lucia,Montserrat,46,30,-2.63,5.04,1.56,0.38,3,1,home_win
Antigua and Barbuda,Trinidad and Tobago,49,71,2.87,0.03,1.13,1.59,2,2,draw
Dominican Republic,Guadeloupe,57,60,-2.38,-6.28,1.68,2.31,5,0,home_win
Guyana,Jamaica,55,78,1.24,-1.15,2.37,2.86,0,2,away_win
Dominica,Bahamas,39,40,2.45,-1.28,0.82,0.59,3,2,home_win
Barbados,Jamaica,48,78,-3.91,-1.03,1.85,2.29,0,4,away_win
Dominica,Cayman Islands,39,33,-4.45,-7.47,1.07,1.15,2,1,home_win
Aruba,Montserrat,43,30,-5.4,-0.49,2.01,1.79,3,1,home_win
Barbados,Dominica,48,39,-6.07,-3.38,1.35,1.37,0,0,draw
Jamaica,Guadeloupe,78,60,1.99,-2.78,2.19,2.37,5,0,home_win
Suriname,Guyana,61,55,0.95,3.06,2.43,2.29,0,1,away_win
Suriname,Aruba,61,43,-3.05,5.36,1.6,1.27,0,0,draw
Guyana,Guadeloupe,55,60,1.74,-3.03,2.14,1.88,0,1,away_win
Curacao,Aruba,68,43,0.16,-3.7,2.55,1.3,3,0,home_win
Barbados,Jamaica,48,78,2.63,-5.6,1.4,2.62,1,0,home_win
Guyana,Dominica,55,39,1.08,2.83,2.11,1.88,2,1,home_win
Antigua and Barbuda,Martinique,49,59,5.25,1.22,1.74,2.08,1,0,home_win
Antigua and Barbuda,Haiti,49,69,1.14,3.22,1.74,2.24,0,2,away_win
Guadeloupe,Cuba,60,62,-0.85,6.39,2.39,2.56,1,4,away_win
Belize,Antigua and Barbuda,45,49,2.73,-1.12,1.77,1.46,3,0,home_win
Curacao,Guyana,68,55,-3.68,5.48,2.2,1.84,0,1,away_win
Saint Kitts and Nevis,Suriname,51,61,-2.85,7.86,1.81,2.2,2,1,home_win
Bahamas,Belize,40,45,4.39,0.73,1.36,1.45,1,2,away_win
Martinique,Curacao,59,68,-0.8,3.17,2.38,2.12,0,1,away_win
Montserrat,Dominica,30,39,4.86,-1.81,1.06,1.3,1,2,away_win
Bahamas,Grenada,40,52,-3.95,0.84,1.16,2.02,1,3,away_win
Trinidad and Tobago,Cuba,71,62,4.08,0.8,2.24,1.29,0,0,draw
Dominica,Suriname,39,61,-1.01,-1.47,1.17,2.39,0,2,away_win
Dominican Republic,Suriname,57,61,2.63,4.08,1.36,1.26,2,0,home_win
Puerto Rico,Aruba,44,43,0.51,-4.48,1.91,2.45,0,1,away_win
Jamaica,Curacao,78,68,-3.35,-1.52,2.9,2.39,1,0,home_win
Bermuda,Barbados,47,48,-1.78,-2.08,1.41,1.14,1,0,home_win
Martinique,Aruba,59,43,-2.71,0.86,1.18,2.06,2,1,home_win
Aruba,Saint Lucia,43,46,0.93,7.38,1.91,2.22,0,3,away_win
Dominican Republic,Haiti,57,69,-5.9,3.15,1.66,2.25,1,0,home_win
Saint Kitts and Nevis,Guyana,51,55,-4.3,3.05,2.08,0.98,3,2,home_win
Grenada,Bahamas,52,40,-2.25,4.08,1.74,1.39,1,0,home_win
Belize,Barbados,45,48,1.05,-0.36,1.78,1.31,1,1,draw
Saint Kitts and Nevis,Curacao,51,68,1.43,4.91,1.29,1.64,0,3,away_win
Puerto Rico,Saint Kitts and Nevis,44,51,2.25,-0.41,1.17,0.85,5,1,home_win
Suriname,Montserrat,61,30,1.65,4.61,2.23,0.72,3,1,home_win
Saint Lucia,Guadeloupe,46,60,-0.61,-1.72,2.04,2.42,0,0,draw
Bahamas,Trinidad and Tobago,40,71,-5.12,-0.71,1.39,2.96,1,2,away_win
Barbados,Guyana,48,55,4.1,-1.52,1.66,2.05,1,0,home_win
Cuba,Bermuda,62,47,1.21,-4.73,1.58,1.58,2,1,home_win
Jamaica,Cayman Islands,78,33,1.7,-8.44,2.39,1.34,2,0,home_win
Martinique,Dominica,59,39,4.58,2.33,2.23,0.81,0,1,away_win
Antigua and Barbuda,Saint Kitts and Nevis,49,51,3.69,-3.08,1.72,1.68,0,0,draw
Barbados,Antigua and Barbuda,48,49,0.74,5.89,1.79,2.05,1,1,draw
Dominican Republic,Martinique,57,59,-0.18,-3.32,2.23,1.87,2,3,away_win
Saint Lucia,Barbados,46,48,-2.7,0.79,1.61,1.92,2,0,home_win
Curacao,Trinidad and Tobago,68,71,-0.6,-0.91,2.26,2.0,2,0,home_win
Dominican Republic,Aruba,57,43,-1.27,-3.89,1.88,1.19,4,1,home_win
Montserrat,Trinidad and Tobago,30,71,-1.52,0.11,1.33,2.33,0,5,away_win
Bermuda,Grenada,47,52,-0.51,4.5,1.23,1.68,2,3,away_win
Martinique,Grenada,59,52,3.98,-0.26,2.48,1.4,1,1,draw
Belize,Jamaica,45,78,-0.35,2.8,1.77,2.57,0,6,away_win
Aruba,Barbados,43,48,-3.48,0.99,1.11,1.57,0,3,away_win
Saint Kitts and Nevis,Aruba,51,43,1.87,1.0,1.21,0.48,2,2,draw
Cuba,Guyana,62,55,4.75,5.12,2.78,1.33,5,0,home_win
Haiti,Martinique,69,59,-1.62,1.61,2.18,1.82,0,1,away_win
Haiti,Suriname,69,61,1.4,-1.01,2.22,1.76,2,2,draw
Bermuda,Curacao,47,68,2.9,2.95,1.21,2.45,0,2,away_win
Curacao,Saint Vincent and the Grenadines,68,45,1.57,7.12,2.01,1.12,0,1,away_win
Antigua and Barbuda,Barbados,49,48,-5.21,-0.74,1.48,1.84,0,1,away_win
Saint Kitts and Nevis,Montserrat,51,30,3.93,1.07,1.77,0.99,2,0,home_win
Belize,Martinique,45,59,1.18,1.81,1.28,2.54,0,0,draw
Guyana,Trinidad and Tobago,55,71,-0.34,2.3,1.56,2.86,1,3,away_win
Cayman Islands,Curacao,33,68,0.74,3.7,0.2,2.16,0,2,away_win
Cayman Islands,Aruba,33,43,2.72,0.25,1.34,1.47,0,1,away_win
Jamaica,Bermuda,78,47,-2.11,2.82,2.31,0.4,1,0,home_win
Dominica,Saint Lucia,39,46,-0.04,1.51,1.21,0.61,0,1,away_win
Grenada,Belize,52,45,0.71,1.78,2.31,1.61,1,4,away_win
Guyana,Cayman Islands,55,33,1.94,-4.72,1.58,1.2,7,0,home_win
Bahamas,Trinidad and Tobago,40,71,0.94,2.35,0.94,1.89,1,5,away_win
Curacao,Cayman Islands,68,33,1.84,4.23,2.49,1.89,3,0,home_win
Saint Kitts and Nevis,Montserrat,51,30,-0.47,-2.52,1.89,1.13,3,0,home_win
Dominican Republic,Barbados,57,48,0.09,0.91,1.87,1.73,0,2,away_win
Curacao,Belize,68,45,4.05,1.05,2.42,2.3,2,2,draw
Cayman Islands,Belize,33,45,-0.6,0.57,0.35,1.3,2,1,home_win
Barbados,Dominica,48,39,-1.57,-0.36,1.42,1.93,3,0,home_win
Suriname,Cuba,61,62,-1.71,-1.95,1.93,1.99,1,2,away_win
Saint Kitts and Nevis,Suriname,51,61,-2.53,-1.61,1.5,1.73,1,0,home_win
Martinique,Bermuda,59,47,5.88,2.54,1.82,1.49,1,3,away_win
Dominica,Suriname,39,61,-1.18,3.16,1.5,1.72,0,1,away_win
Guadeloupe,Trinidad and Tobago,60,71,-2.42,-0.47,1.46,2.08,1,1,draw
Saint Vincent and the Grenadines,Aruba,45,43,-7.49,4.43,1.6,2.72,4,1,home_win
Belize,Dominican Republic,45,57,3.34,-2.91,1.43,1.79,0,1,away_win
Belize,Grenada,45,52,-0.48,2.09,1.78,2.18,2,1,home_win
Antigua and Barbuda,Cayman Islands,49,33,5.0,4.93,1.16,1.34,4,0,home_win
Barbados,Trinidad and Tobago,48,71,-1.2,-3.17,0.59,2.78,0,2,away_win
Grenada,Saint Vincent and the Grenadines,52,45,2.46,1.24,1.74,1.56,1,2,away_win
Aruba,Guyana,43,55,-0.68,3.45,1.08,1.71,0,1,away_win
Guadeloupe,Antigua and Barbuda,60,49,0.34,2.57,1.92,1.67,2,0,home_win
Saint Lucia,Grenada,46,52,3.53,0.48,1.72,2.51,0,0,draw
Saint Vincent and the Grenadines,Dominica,45,39,5.68,0.5,1.25,1.55,0,1,away_win
Montserrat,Curacao,30,68,-1.48,1.35,1.41,1.97,0,2,away_win
Trinidad and Tobago,Aruba,71,43,-4.32,0.01,2.94,1.83,0,0,draw
Aruba,Curacao,43,68,1.73,5.43,2.26,1.67,0,1,away_win
Antigua and Barbuda,Saint Lucia,49,46,-1.89,1.48,1.63,1.62,1,2,away_win
Cayman Islands,Guadeloupe,33,60,-1.24,1.17,1.47,2.11,0,2,away_win
Grenada,Montserrat,52,30,1.47,0.89,1.93,0.81,4,1,home_win
Saint Lucia,Belize,46,45,1.15,-1.47,1.69,1.15,0,1,away_win
Antigua and Barbuda,Bermuda,49,47,3.47,0.56,2.57,2.16,0,1,away_win
Cayman Islands,Guadeloupe,33,60,4.83,2.12,0.81,2.57,1,2,away_win
Suriname,Belize,61,45,1.2,1.25,2.1,1.12,0,0,draw
Dominican Republic,Grenada,57,52,-1.65,2.35,1.74,1.49,2,1,home_win
Guyana,Cuba,55,62,-5.29,2.44,2.11,1.4,2,1,home_win
Suriname,Antigua and Barbuda,61,49,-3.01,-1.14,2.28,1.27,4,1,home_win
Belize,Trinidad and Tobago,45,71,-2.07,5.05,1.2,2.75,0,3,away_win
Grenada,Antigua and Barbuda,52,49,8.3,-1.99,2.14,1.57,0,0,draw
Saint Vincent and the Grenadines,Martinique,45,59,-2.97,0.87,1.59,1.73,0,0,draw
Curacao,Suriname,68,61,2.08,-2.22,2.54,1.25,1,0,home_win
Montserrat,Saint Lucia,30,46,0.67,0.5,1.31,1.32,0,3,away_win
Puerto Rico,Suriname,44,61,1.23,-1.28,1.17,2.15,0,1,away_win
Aruba,Bermuda,43,47,-0.88,-2.33,1.27,1.34,3,0,home_win
Saint Lucia,Puerto Rico,46,44,0.16,-1.61,1.93,1.79,2,3,away_win
Saint Lucia,Belize,46,45,-0.87,4.78,1.58,0.94,0,3,away_win
Saint Vincent and the Grenadines,Haiti,45,69,-1.35,-1.52,1.23,2.81,1,1,draw
Curacao,Saint Kitts and Nevis,68,51,5.71,0.47,2.55,1.56,0,1,away_win
Saint Kitts and Nevis,Belize,51,45,1.52,-4.15,1.53,1.83,2,1,home_win
Saint Kitts and Nevis,Belize,51,45,-2.54,-0.84,1.53,1.08,1,1,draw
Antigua and Barbuda,Trinidad and Tobago,49,71,1.67,-2.19,1.2,2.37,2,2,draw
Guyana,Belize,55,45,-2.5,-1.85,2.35,1.35,1,1,draw
Antigua and Barbuda,Bermuda,49,47,-2.43,-0.7,1.9,1.04,2,1,home_win
Bahamas,Cayman Islands,40,33,0.16,0.14,1.47,0.87,2,0,home_win
Cuba,Dominica,62,39,2.15,-2.89,2.25,0.8,1,0,home_win
Belize,Cayman Islands,45,33,-3.43,0.94,1.4,1.75,3,1,home_win
Bermuda,Jamaica,47,78,-1.35,-0.74,1.28,1.69,2,4,away_win
Puerto Rico,Guadeloupe,44,60,-2.52,0.3,1.37,1.85,1,5,away_win
Jamaica,Dominica,78,39,3.05,4.78,2.78,1.36,3,0,home_win
Barbados,Grenada,48,52,-4.82,3.31,2.79,1.8,3,3,draw
Dominica,Saint Kitts and Nevis,39,51,-1.56,-0.41,1.12,1.22,1,1,draw
Haiti,Martinique,69,59,-0.95,-3.19,1.85,1.8,0,0,draw
Bermuda,Cuba,47,62,3.29,-1.43,1.83,2.1,3,1,home_win
Cuba,Trinidad and Tobago,62,71,4.52,5.18,1.67,2.85,2,2,draw
Saint Kitts and Nevis,Guyana,51,55,1.26,-3.49,1.86,1.78,1,0,home_win
Haiti,Belize,69,45,2.13,-2.9,2.34,1.12,2,0,home_win
Cuba,Martinique,62,59,-0.25,1.84,2.32,2.59,1,0,home_win
Trinidad and Tobago,Haiti,71,69,0.5,-2.8,2.57,2.3,3,0,home_win
Barbados,Haiti,48,69,0.58,1.71,1.37,1.98,2,4,away_win
Saint Lucia,Curacao,46,68,0.13,-4.5,1.26,2.6,4,1,home_win
Dominican Republic,Grenada,57,52,2.3,-5.36,3.14,1.99,2,2,draw
Antigua and Barbuda,Guadeloupe,49,60,0.35,0.03,1.55,1.8,1,3,away_win
Puerto Rico,Bahamas,44,40,-1.79,4.88,0.78,1.43,2,2,draw
Martinique,Curacao,59,68,3.76,1.92,2.54,2.01,1,2,away_win
Bahamas,Trinidad and Tobago,40,71,3.87,2.51,1.11,2.09,1,0,home_win
Antigua and Barbuda,Suriname,49,61,0.66,3.6,1.27,2.79,2,0,home_win
Antigua and Barbuda,Jamaica,49,78,0.57,2.42,2.31,3.09,1,4,away_win
Cuba,Saint Kitts and Nevis,62,51,1.73,1.25,2.24,1.86,4,2,home_win
Saint Lucia,Antigua and Barbuda,46,49,2.77,-1.62,1.13,0.91,1,4,away_win
Jamaica,Puerto Rico,78,44,0.44,1.62,2.08,1.27,4,0,home_win
Dominica,Curacao,39,68,-1.69,-2.53,0.91,2.11,0,2,away_win
Aruba,Cayman Islands,43,33,-0.75,-4.2,1.4,1.73,4,1,home_win
Guyana,Cayman Islands,55,33,-4.63,-2.59,0.91,1.6,3,0,home_win
Saint Kitts and Nevis,Barbados,51,48,2.26,0.11,1.98,1.56,4,0,home_win
Belize,Guyana,45,55,-0.85,-3.16,1.01,1.57,1,2,away_win
Jamaica,Martinique,78,59,-4.04,0.94,2.59,1.95,6,1,home_win
Haiti,Dominican Republic,69,57,-6.54,-2.83,2.52,1.0,2,1,home_win
Bermuda,Saint Vincent and the Grenadines,47,45,-0.6,-4.99,2.53,1.65,1,1,draw
Puerto Rico,Saint Vincent and the Grenadines,44,45,-4.27,-5.99,2.02,1.61,4,1,home_win
Bermuda,Cuba,47,62,3.13,-1.17,2.41,1.07,1,0,home_win
Dominica,Saint Kitts and Nevis,39,51,-1.78,-0.96,1.22,2.04,2,2,draw
Aruba,Grenada,43,52,2.25,-0.28,1.43,1.47,1,0,home_win
Grenada,Aruba,52,43,-6.45,-0.04,1.99,1.66,6,1,home_win
Montserrat,Grenada,30,52,3.54,-3.41,0.5,2.17,1,3,away_win
Bahamas,Guadeloupe,40,60,6.68,2.79,1.45,1.9,2,0,home_win
Antigua and Barbuda,Bermuda,49,47,-2.53,-2.92,1.7,1.57,2,1,home_win
Cayman Islands,Dominican Republic,33,57,0.61,-3.43,0.52,1.8,0,0,draw
Trinidad and Tobago,Cayman Islands,71,33,4.15,-3.46,2.22,1.57,5,0,home_win
Bahamas,Aruba,40,43,-2.31,-0.84,1.53,0.83,3,0,home_win
Jamaica,Guyana,78,55,-8.44,-2.91,2.61,1.87,1,0,home_win
Aruba,Dominica,43,39,-2.03,-4.49,1.71,0.8,1,3,away_win
Curacao,Belize,68,45,0.11,-0.38,2.24,2.02,5,1,home_win
Dominica,Saint Lucia,39,46,-2.73,2.57,1.14,1.84,1,1,draw
Jamaica,Puerto Rico,78,44,-0.94,-0.72,3.03,1.67,2,0,home_win
Belize,Guyana,45,55,-4.15,-0.01,1.48,1.98,1,0,home_win
Suriname,Guadeloupe,61,60,-1.38,-1.41,2.01,1.42,0,2,away_win
Aruba,Bermuda,43,47,0.61,0.23,2.09,1.88,4,2,home_win
Barbados,Montserrat,48,30,1.72,1.6,2.11,1.23,2,1,home_win
Cayman Islands,Haiti,33,69,-0.93,2.97,1.47,2.07,0,3,away_win
Haiti,Barbados,69,48,-5.31,-1.66,2.29,1.89,1,0,home_win
Suriname,Saint Vincent and the Grenadines,61,45,1.48,-1.02,2.23,1.12,4,0,home_win
Saint Vincent and the Grenadines,Cayman Islands,45,33,4.31,7.95,1.65,2.36,1,3,away_win
Saint Vincent and the Grenadines,Cayman Islands,45,33,-4.78,0.22,1.25,1.82,2,1,home_win
Haiti,Saint Lucia,69,46,1.53,0.87,2.71,1.38,4,0,home_win
Bahamas,Belize,40,45,-3.05,-1.9,0.94,1.03,3,1,home_win
Saint Vincent and the Grenadines,Dominican Republic,45,57,0.92,2.81,1.48,1.93,0,3,away_win
Guyana,Dominica,55,39,-2.85,-3.35,2.38,1.62,2,0,home_win
Jamaica,Dominica,78,39,-2.48,0.66,1.82,1.33,4,0,home_win
Barbados,Montserrat,48,30,0.05,5.83,1.78,0.4,1,0,home_win
Jamaica,Saint Kitts and Nevis,78,51,4.98,-1.78,2.61,2.18,2,0,home_win
Bahamas,Grenada,40,52,-1.92,1.77,0.88,1.96,1,2,away_win
Cayman Islands,Suriname,33,61,-0.23,3.06,1.83,1.9,0,5,away_win
Cayman Islands,Dominican Republic,33,57,-0.43,-0.27,1.37,1.72,0,4,away_win
Belize,Guadeloupe,45,60,-0.46,-0.5,1.28,2.81,0,3,away_win
Puerto Rico,Saint Vincent and the Grenadines,44,45,-5.22,-4.97,1.27,2.06,2,2,draw
Puerto Rico,Cayman Islands,44,33,1.49,5.16,2.24,2.14,2,2,draw
Dominican Republic,Barbados,57,48,-0.13,3.12,2.06,1.6,0,1,away_win
Antigua and Barbuda,Puerto Rico,49,44,1.67,0.02,1.52,2.1,4,0,home_win
Bermuda,Puerto Rico,47,44,-3.89,3.68,1.46,1.62,1,0,home_win
Antigua and Barbuda,Guadeloupe,49,60,2.15,-4.44,1.57,2.56,1,1,draw
Dominica,Haiti,39,69,0.39,-0.69,1.59,2.27,0,2,away_win
Suriname,Cayman Islands,61,33,-1.83,2.7,1.5,0.77,5,0,home_win
Belize,Guadeloupe,45,60,5.1,-0.59,1.74,2.37,0,4,away_win
Barbados,Guyana,48,55,-5.01,0.77,2.42,2.5,2,2,draw
Curacao,Dominica,68,39,6.29,1.87,2.39,1.76,2,1,home_win
Puerto Rico,Belize,44,45,-3.59,-0.85,0.62,1.2,1,2,away_win
Dominican Republic,Bermuda,57,47,0.08,1.91,2.29,1.88,1,2,away_win
Saint Vincent and the Grenadines,Trinidad and Tobago,45,71,3.81,3.35,1.17,1.86,0,1,away_win
Grenada,Saint Lucia,52,46,-0.13,3.01,1.86,0.9,0,0,draw
Bahamas,Bermuda,40,47,3.94,-1.21,1.82,1.4,4,2,home_win
Puerto Rico,Suriname,44,61,-0.49,-3.65,2.16,1.66,0,1,away_win
Cayman Islands,Haiti,33,69,-1.46,-0.15,1.04,2.3,0,2,away_win
Cayman Islands,Belize,33,45,-3.25,-2.74,1.05,1.85,0,4,away_win
Barbados,Trinidad and Tobago,48,71,-2.0,-2.13,0.98,1.76,3,1,home_win
Dominica,Belize,39,45,-2.72,1.77,2.08,1.23,1,1,draw
Grenada,Puerto Rico,52,44,3.01,7.48,2.3,1.72,1,0,home_win
Bermuda,Trinidad and Tobago,47,71,-0.38,-5.52,0.6,2.56,0,1,away_win
Grenada,Guyana,52,55,-3.7,2.19,1.32,1.87,2,4,away_win
Haiti,Bahamas,69,40,4.16,-7.44,2.68,1.32,2,1,home_win
Cuba,Montserrat,62,30,-1.0,-3.06,1.39,0.59,2,0,home_win
Montserrat,Curacao,30,68,5.6,2.97,1.41,2.56,1,7,away_win
Saint Lucia,Barbados,46,48,-0.66,-1.54,1.59,1.63,0,1,away_win
Montserrat,Belize,30,45,1.92,-2.1,0.58,0.9,0,0,draw
Dominican Republic,Suriname,57,61,3.01,1.57,2.39,1.65,2,0,home_win
Dominica,Saint Kitts and Nevis,39,51,4.34,-0.12,1.46,1.94,2,2,draw
Bermuda,Curacao,47,68,-2.47,2.02,1.64,2.1,0,0,draw
Cuba,Antigua and Barbuda,62,49,3.6,-2.99,1.77,1.77,8,1,home_win
Cuba,Saint Vincent and the Grenadines,62,45,3.58,0.61,1.61,2.12,5,0,home_win
Suriname,Belize,61,45,-0.29,-0.93,1.54,1.81,0,2,away_win
Bermuda,Belize,47,45,-1.36,4.36,1.75,1.33,3,1,home_win
Dominica,Bahamas,39,40,-1.62,-4.16,0.67,0.52,2,0,home_win
Dominica,Saint Vincent and the Grenadines,39,45,-3.87,-1.78,1.17,1.96,2,1,home_win
Puerto Rico,Bahamas,44,40,4.89,0.87,2.07,1.78,3,1,home_win
Trinidad and Tobago,Puerto Rico,71,44,0.47,-0.46,2.37,1.3,4,0,home_win
Guyana,Saint Kitts and Nevis,55,51,-4.62,-3.76,0.84,1.09,1,0,home_win
Barbados,Grenada,48,52,-1.95,0.5,1.61,1.61,1,3,away_win
Antigua and Barbuda,Cayman Islands,49,33,-1.94,-3.01,1.71,1.23,1,0,home_win
Aruba,Saint Vincent and the Grenadines,43,45,2.63,-0.61,1.65,0.94,3,0,home_win
Dominica,Saint Vincent and the Grenadines,39,45,-1.76,0.44,1.25,2.02,1,0,home_win
Dominican Republic,Trinidad and Tobago,57,71,5.26,-1.2,1.75,1.96,0,0,draw
Antigua and Barbuda,Grenada,49,52,-0.41,-4.88,2.17,1.74,3,1,home_win
Cayman Islands,Martinique,33,59,-1.32,2.57,1.63,2.41,0,2,away_win
Saint Vincent and the Grenadines,Grenada,45,52,1.35,-5.78,0.89,1.81,2,0,home_win
Montserrat,Saint Lucia,30,46,0.2,-1.19,0.64,0.81,0,0,draw
Cuba,Cayman Islands,62,33,-2.6,-0.65,2.55,1.27,4,0,home_win
Guyana,Cayman Islands,55,33,-0.29,1.5,3.0,1.17,2,0,home_win
Guyana,Cayman Islands,55,33,-5.81,5.15,2.24,0.67,2,1,home_win
Guadeloupe,Aruba,60,43,-3.43,3.85,1.95,1.78,0,0,draw
Cuba,Bermuda,62,47,2.22,1.25,1.71,1.83,3,0,home_win
Saint Lucia,Haiti,46,69,0.63,-5.08,1.8,2.66,0,0,draw
Cayman Islands,Trinidad and Tobago,33,71,-4.69,3.71,1.5,2.28,0,3,away_win
Guadeloupe,Grenada,60,52,-4.3,1.41,1.72,2.21,0,1,away_win
Aruba,Grenada,43,52,7.51,3.87,0.57,1.27,1,0,home_win
Grenada,Guyana,52,55,-2.28,1.42,1.58,2.29,1,2,away_win
Belize,Saint Lucia,45,46,-1.37,-1.05,0.66,1.86,1,0,home_win
Curacao,Aruba,68,43,3.44,-1.08,2.64,0.68,4,0,home_win
Bahamas,Cayman Islands,40,33,-2.52,-4.57,2.14,1.35,2,0,home_win
Cuba,Haiti,62,69,2.21,8.1,2.36,2.31,2,2,draw
Belize,Dominican Republic,45,57,-0.54,-1.94,1.51,2.81,1,0,home_win
Dominican Republic,Saint Kitts and Nevis,57,51,0.32,-0.72,1.89,1.7,3,0,home_win
Bermuda,Saint Vincent and the Grenadines,47,45,0.84,-2.38,1.96,2.2,0,1,away_win
Guadeloupe,Barbados,60,48,-2.24,1.1,2.27,1.04,2,2,draw
Montserrat,Belize,30,45,3.62,-0.8,1.16,1.77,0,0,draw
Haiti,Martinique,69,59,-0.79,6.44,2.06,2.63,1,0,home_win
Dominican Republic,Suriname,57,61,0.99,4.85,1.3,2.61,2,0,home_win
Saint Lucia,Aruba,46,43,2.41,1.52,1.9,2.09,0,1,away_win
Dominica,Trinidad and Tobago,39,71,-1.09,1.41,1.49,2.29,0,1,away_win
Barbados,Guyana,48,55,1.71,-6.53,1.75,2.04,2,1,home_win
Antigua and Barbuda,Jamaica,49,78,-5.1,-2.34,2.0,2.44,0,5,away_win
Saint Kitts and Nevis,Antigua and Barbuda,51,49,-0.29,0.56,1.34,1.77,3,2,home_win
Cuba,Guyana,62,55,-0.87,-7.26,2.43,2.03,2,0,home_win
Curacao,Guadeloupe,68,60,-2.3,1.66,1.9,2.46,0,3,away_win
Barbados,Curacao,48,68,5.95,1.79,2.04,1.96,3,1,home_win
Guyana,Suriname,55,61,-1.14,-0.51,1.5,1.65,0,1,away_win
Trinidad and Tobago,Dominica,71,39,6.09,-2.92,2.25,0.41,2,0,home_win
Puerto Rico,Cayman Islands,44,33,-2.42,-0.96,0.8,0.81,4,0,home_win
Bahamas,Puerto Rico,40,44,0.16,3.21,1.58,1.73,2,1,home_win
Saint Vincent and the Grenadines,Bahamas,45,40,-1.9,-4.62,0.37,2.12,4,1,home_win
Saint Kitts and Nevis,Grenada,51,52,-3.44,-3.29,1.77,1.78,1,0,home_win
Trinidad and Tobago,Saint Kitts and Nevis,71,51,3.32,-0.91,2.12,1.69,3,0,home_win
Trinidad and Tobago,Guadeloupe,71,60,1.95,-3.62,2.89,1.31,0,0,draw
Antigua and Barbuda,Cayman Islands,49,33,-1.5,-1.2,2.04,1.53,1,0,home_win
Guyana,Curacao,55,68,2.16,-1.99,1.68,2.81,4,1,home_win
Curacao,Trinidad and Tobago,68,71,-4.08,-1.96,1.83,2.16,1,0,home_win
Saint Kitts and Nevis,Jamaica,51,78,1.54,3.57,1.43,2.55,0,2,away_win
Guadeloupe,Barbados,60,48,0.62,2.02,1.95,1.71,2,1,home_win
Cayman Islands,Martinique,33,59,-4.67,4.5,1.6,1.67,0,2,away_win
Suriname,Montserrat,61,30,4.4,0.96,2.61,0.96,1,0,home_win
Dominica,Cayman Islands,39,33,0.4,-4.69,0.98,0.81,1,2,away_win
Montserrat,Suriname,30,61,-1.5,0.99,0.28,1.71,0,4,away_win
Puerto Rico,Antigua and Barbuda,44,49,2.81,5.56,1.83,1.84,1,1,draw
